"Subject"|"Activity"|"Time_Body_Acceleration_mean_X"|"Time_Body_Acceleration_mean_Y"|"Time_Body_Acceleration_mean_Z"|"Time_Body_Acceleration_std_X"|"Time_Body_Acceleration_std_Y"|"Time_Body_Acceleration_std_Z"|"Time_Gravity_Acceleration_mean_X"|"Time_Gravity_Acceleration_mean_Y"|"Time_Gravity_Acceleration_mean_Z"|"Time_Gravity_Acceleration_std_X"|"Time_Gravity_Acceleration_std_Y"|"Time_Gravity_Acceleration_std_Z"|"Time_Body_Acceleration_Jerk_mean_X"|"Time_Body_Acceleration_Jerk_mean_Y"|"Time_Body_Acceleration_Jerk_mean_Z"|"Time_Body_Acceleration_Jerk_std_X"|"Time_Body_Acceleration_Jerk_std_Y"|"Time_Body_Acceleration_Jerk_std_Z"|"Time_Body_Gyro_mean_X"|"Time_Body_Gyro_mean_Y"|"Time_Body_Gyro_mean_Z"|"Time_Body_Gyro_std_X"|"Time_Body_Gyro_std_Y"|"Time_Body_Gyro_std_Z"|"Time_Body_Gyro_Jerk_mean_X"|"Time_Body_Gyro_Jerk_mean_Y"|"Time_Body_Gyro_Jerk_mean_Z"|"Time_Body_Gyro_Jerk_std_X"|"Time_Body_Gyro_Jerk_std_Y"|"Time_Body_Gyro_Jerk_std_Z"|"Freq_Body_Acceleration_mean_X"|"Freq_Body_Acceleration_mean_Y"|"Freq_Body_Acceleration_mean_Z"|"Freq_Body_Acceleration_std_X"|"Freq_Body_Acceleration_std_Y"|"Freq_Body_Acceleration_std_Z"|"Freq_Body_Acceleration_Jerk_mean_X"|"Freq_Body_Acceleration_Jerk_mean_Y"|"Freq_Body_Acceleration_Jerk_mean_Z"|"Freq_Body_Acceleration_Jerk_std_X"|"Freq_Body_Acceleration_Jerk_std_Y"|"Freq_Body_Acceleration_Jerk_std_Z"|"Freq_Body_Gyro_mean_X"|"Freq_Body_Gyro_mean_Y"|"Freq_Body_Gyro_mean_Z"|"Freq_Body_Gyro_std_X"|"Freq_Body_Gyro_std_Y"|"Freq_Body_Gyro_std_Z"
1|"LAYING"|-0.36120533|-0.68409659|-1|-0.99677544|-0.99835905|-0.99868915|-0.75875146|-0.068420491|-0.33406763|-0.99962828|-0.99955353|-0.9987835|-0.048777316|-0.3848919|-0.24078322|-0.99543348|-0.99541159|-0.99754911|-0.23782482|-0.24323522|-0.098544364|-0.99960009|-0.99847939|-0.99661541|-0.79429092|-0.19322027|-0.31226655|-0.99981405|-0.99918657|-0.99779685|-0.99651117|-0.99576167|-0.99753879|-0.99682163|-0.99919054|-0.99902371|-0.99579185|-0.9952737|-0.99675655|-0.99588563|-0.99592795|-0.99685946|-0.99955507|-0.99886212|-0.99679319|-0.99975804|-0.99865705|-0.99791224
2|"LAYING"|0.17376905|-0.039323711|-0.15519093|-0.99746842|-0.99845545|-0.99850164|-0.72762928|0.70722564|0.5865105|-0.99949955|-0.99901751|-0.99946184|0.033688411|-0.045314077|-0.09166723|-0.9952761|-0.99569201|-0.99660121|-0.041686651|-0.38134958|0.048034885|-0.998612|-0.99766178|-0.99790527|-0.16111861|-0.058472621|-0.19292642|-0.99801625|-0.99696945|-0.99627299|-0.99683568|-0.99584843|-0.99727769|-0.99775437|-0.99921236|-0.99868059|-0.99520942|-0.99596629|-0.99523128|-0.99623489|-0.99694894|-0.99740353|-0.99747106|-0.9967507|-0.99670849|-0.9991656|-0.99837145|-0.99867432
3|"LAYING"|0.23982421|-0.06840145|-0.13887653|-0.99805933|-0.99806717|-0.99723936|-0.32851918|0.75561068|0.35600268|-0.99858089|-0.99900796|-0.99853571|0.042788447|-0.13660312|-0.13814519|-0.99683725|-0.99417146|-0.99704381|-0.11695936|-0.18998582|0.044588357|-0.9979381|-0.99855571|-0.99746196|-0.16121314|-0.070844445|-0.20115156|-0.99746808|-0.99952103|-0.99734639|-0.99751962|-0.99592077|-0.99720469|-0.99834081|-0.99860372|-0.99721106|-0.99684372|-0.9942831|-0.99636009|-0.99710156|-0.9944246|-0.99685647|-0.99737119|-0.99882143|-0.99702956|-0.99822297|-0.99830269|-0.99782183
4|"LAYING"|-0.27033343|-0.036677174|-0.19277943|-0.99529507|-0.99415359|-0.99654837|-0.47012868|0.8605612|0.1582458|-0.99880613|-0.99956099|-0.99731174|0.037076926|-0.25380572|-0.11038511|-0.99526861|-0.99112888|-0.99947317|-0.049432107|-0.26735466|0.056507699|-0.99572661|-0.97940298|-0.99707424|-0.20162502|-0.078776851|-0.17409081|-0.99706462|-0.99621156|-0.99825367|-0.99531091|-0.99070105|-0.99594209|-0.99590686|-0.99604945|-0.99726682|-0.99549111|-0.99132833|-0.99936516|-0.99724098|-0.99303314|-0.99800898|-0.99594226|-0.9887717|-0.99745177|-0.99593665|-0.97698994|-0.99793972
5|"LAYING"|0.13125238|-0.047478082|-0.13220875|-0.99611334|-0.99057606|-0.99390731|-0.557921|0.93485035|0.19268678|-0.9995483|-0.99948077|-0.99684077|0.022313824|-0.099020652|-0.1121442|-0.99765739|-0.98459599|-0.99624298|-0.042332897|-0.15031274|0.026805362|-0.99384772|-0.99404349|-0.99814187|-0.186611|-0.09779463|-0.15543727|-0.99367235|-0.99378523|-0.99776723|-0.99697963|-0.98673285|-0.99242894|-0.99665303|-0.99314779|-0.99465108|-0.99740935|-0.98537048|-0.99519563|-0.99819968|-0.98540547|-0.99641726|-0.9911283|-0.99258997|-0.99755697|-0.99500551|-0.99513267|-0.99854601
6|"LAYING"|-0.85384825|-0.04095503|-0.32763493|-0.99413059|-0.9883688|-0.98970883|-0.57064457|0.75004236|-0.042282939|-0.99744765|-0.99967595|-0.99837714|-0.046895241|-0.43722369|-0.27073998|-0.9910346|-0.98138742|-0.99170065|-0.054511655|-0.57518899|0.039972266|-0.99034563|-0.9879517|-0.991904|-0.21473047|-0.21563137|-0.19662465|-0.99075956|-0.98738991|-0.99117371|-0.99201401|-0.98479786|-0.9894063|-0.99521388|-0.9902585|-0.98991797|-0.99050912|-0.98057422|-0.98913437|-0.99252752|-0.98408442|-0.99308046|-0.98815217|-0.98636287|-0.99063914|-0.99097174|-0.98907388|-0.99304624
7|"LAYING"|-0.40995186|-0.11409176|-0.13545356|-0.97910976|-0.99284496|-0.9933372|-0.58657625|0.15624602|0.74549242|-0.98969878|-0.99805218|-0.99781659|0.055482088|-0.093664258|-0.30453375|-0.99419326|-0.99433598|-0.99593116|-0.042957348|-0.85197318|0.042677736|-0.99673673|-0.97448175|-0.99906236|-0.3970337|-0.13136545|-0.20392274|-0.99805216|-0.99509697|-0.99882849|-0.98856173|-0.99123728|-0.99282499|-0.975782|-0.9931429|-0.99444952|-0.99456433|-0.99391643|-0.99320001|-0.99476722|-0.99534296|-0.99781444|-0.99676439|-0.98417783|-0.99900918|-0.99673529|-0.97157913|-0.99913482
8|"LAYING"|-0.4208058|-0.15904825|-0.18034055|-0.99704818|-0.99589635|-0.9968215|-0.58234521|0.30360254|0.38011847|-0.99925659|-0.99923755|-0.99663996|0.020579409|-0.043825429|-0.79329183|-0.99595127|-0.99539768|-0.99891682|-0.041328371|-0.39215721|0.044299359|-0.99702175|-0.99686939|-0.9977565|-0.1702136|-0.14834925|-0.17246406|-0.99826478|-0.99883303|-0.99783514|-0.99722096|-0.99325655|-0.99808535|-0.99749244|-0.9967648|-0.996234|-0.99621173|-0.99546127|-0.99899743|-0.99678581|-0.9959601|-0.99808479|-0.99776592|-0.99757884|-0.99748626|-0.99728046|-0.99694387|-0.99847814
9|"LAYING"|-0.41627026|-0.11251405|-0.14402032|-0.98941954|-0.98959619|-0.99613858|-0.80691286|-0.44069734|0.9219197|-0.99628694|-0.9971448|-0.99877378|0.03817314|-0.11552087|-0.23662956|-0.99415771|-0.99485333|-0.9949313|-0.066323593|-0.78365493|-0.082098457|-0.99128447|-0.9865405|-0.99627969|-0.15552342|-0.073031208|-0.14980786|-0.99370996|-0.99484682|-0.99700926|-0.99135035|-0.99107676|-0.99575287|-0.98845515|-0.98835346|-0.99582258|-0.99348302|-0.99382094|-0.99468765|-0.9959998|-0.99681172|-0.99536522|-0.98983611|-0.99035441|-0.99519862|-0.99167135|-0.98449066|-0.9971308
10|"LAYING"|0.07654368|-0.3628841|-0.57618401|-0.99873725|-0.99804617|-0.99895457|-0.57671933|-1|-0.99108979|-0.99962462|-0.99966899|-0.99854695|-0.041843692|-0.11519469|-0.11912819|-0.99785424|-0.99440366|-0.99612473|-0.10524727|-0.72623044|-0.065807431|-0.99930257|-0.99870498|-0.99981073|-0.28061402|-0.1283027|-0.2007382|-0.99871432|-0.99927797|-0.9990141|-0.99846624|-0.99533621|-0.99738265|-0.99884999|-0.9988991|-0.99940326|-0.99832478|-0.99444855|-0.99601183|-0.99744006|-0.9947324|-0.99602354|-0.99895437|-0.99879378|-0.99958758|-0.99941498|-0.99883162|-0.99997954
